Unnamed: 0,Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
1490,louis taylor,Middleweight,5.92,185,74,40,11,3,0
1491,danielle taylor,Women's Strawweight,5.0,115,60,29,9,4,0
1492,james te huna,Light Heavyweight,6.17,185,75,38,18,9,0
1493,shawn teed,Heavyweight,6.42,265,79,27,5,1,0
1494,glover teixeira,Light Heavyweight,6.17,205,76,39,30,7,0
1495,david teymur,Lightweight,5.75,155,73,30,8,2,0
1496,daniel teymur,Featherweight,5.42,145,69,31,7,3,0
1497,motonobu tezuka,Bantamweight,5.58,135,66,32,19,6,4
1498,brandon thatch,Welterweight,6.17,170,74,34,11,5,0
1499,elias theodorou,Middleweight,6.08,185,75,31,17,3,0
1500,paulo thiago,Welterweight,5.92,170,73,38,15,8,0
1501,nick thompson,Welterweight,6.08,170,74,38,38,14,1
1502,oli thompson,Heavyweight,6.08,242,75,39,9,4,0
1503,stephen thompson,Welterweight,6.0,170,75,36,14,4,1
1504,josh thomson,Lightweight,5.83,155,71,41,21,8,0
1505,simeon thoresen,Welterweight,6.08,170,79,35,17,4,1
1506,gleison tibau,Lightweight,5.83,155,71,36,40,14,0
1507,nolan ticman,Flyweight,5.5,125,69,31,4,3,0
1508,darren till,Welterweight,6.0,170,74,26,17,2,1
1509,andrew todhunter,Middleweight,6.0,185,72,31,8,0,0
1510,dusko todorovic,Middleweight,6.08,185,74,25,8,0,0
1511,kazuki tokudome,Lightweight,5.92,155,73,32,12,6,1
1512,tyler toner,Featherweight,5.67,145,70,36,12,3,0
1513,miguel torres,Bantamweight,5.75,135,76,38,39,5,0
1514,tecia torres,Women's Strawweight,5.08,115,60,30,10,5,0
1515,alex torres,Featherweight,5.83,145,70,31,2,2,0
1516,jose torres,Flyweight,5.33,125,65,27,8,1,0
1517,desmond torres,Bantamweight,5.5,135,69,22,7,1,0
1518,salim touahri,Welterweight,5.83,170,72,30,10,4,0
1519,dequan townsend,Light Heavyweight,6.25,205,79,33,21,9,0
1520,francisco trevino,Lightweight,5.75,155,70,37,12,2,0
1521,frank trigg,Welterweight,5.75,170,71,47,21,9,0
1522,francisco trinaldo,Lightweight,5.75,155,70,41,23,7,0
1523,michael trizano,Featherweight,5.92,155,71,27,9,1,0
1524,antonio trocoli,Light Heavyweight,6.42,205,82,28,11,3,0
1525,tor troeng,Middleweight,6.17,185,77,36,16,7,1
1526,abel trujillo,Lightweight,5.67,155,70,36,15,8,0
1527,arman tsarukyan,Lightweight,5.58,155,72,23,14,2,0
1528,chris tuchscherer,Heavyweight,6.17,258,76,44,21,4,0
1529,jon tuck,Lightweight,5.92,155,73,35,10,5,0
1530,gavin tucker,Featherweight,5.5,145,66,33,11,1,0
1531,jumabieke tuerxun,Bantamweight,5.58,135,67,33,17,3,1
1532,tai tuivasa,Heavyweight,6.17,264,75,26,10,3,0
1533,zubaira tukhugov,Featherweight,5.67,145,68,28,18,4,1
1534,albert tumenov,Welterweight,5.92,170,73,27,17,4,0
1535,ricky turcios,Bantamweight,5.75,135,71,26,8,1,0
1536,wellington turman,Middleweight,6.0,185,72,23,15,3,0
1537,jalin turner,Lightweight,6.25,155,77,24,8,5,0
1538,austin tweedy,Lightweight,5.75,155,68,29,10,1,0
1539,marcin tybura,Heavyweight,6.25,249,78,33,17,6,0
1540,alberto uda,Middleweight,6.25,185,77,35,9,2,0
1541,gasan umalatov,Welterweight,5.92,170,71,37,15,5,1
1542,caol uno,Lightweight,5.58,155,70,44,26,15,5
1543,hector urbina,Welterweight,5.92,170,73,32,25,10,1
1544,elias urbina,Middleweight,6.25,185,77,26,3,1,0
1545,nick urso,Flyweight,5.5,125,66,34,10,3,0
1546,kamaru usman,Welterweight,6.0,170,76,32,15,1,0
1547,darren uyenoyama,Flyweight,5.5,125,64,40,8,5,0
1548,richie vaculik,Flyweight,5.5,125,69,36,10,5,0
1549,charlie valencia,Bantamweight,5.25,135,64,44,12,7,0
1550,isaac vallie-flagg,Lightweight,5.67,155,68,41,14,6,1
1551,matt van buren,Light Heavyweight,6.42,205,76,33,7,4,0
1552,brianna van buren,Women's Strawweight,5.0,115,62,26,9,2,0
1553,austin vanderford,Welterweight,5.92,170,74,29,4,0,0
1554,lando vannata,Lightweight,5.75,155,71,27,10,4,2
1555,paige vanzant,Women's Flyweight,5.33,115,65,25,8,4,0
1556,kazula vargas,Lightweight,5.67,155,71,34,10,3,0
1557,jamie varner,Lightweight,5.67,155,72,35,21,11,1
1558,guilherme vasconcelos,Middleweight,6.0,185,74,33,3,2,0
1559,javier vazquez,Featherweight,5.58,145,69,42,16,5,0
1560,manny vazquez,Flyweight,5.83,125,72,25,11,2,0
1561,cain velasquez,Heavyweight,6.08,240,77,37,14,3,0
1562,bojan velickovic,Welterweight,6.0,170,76,30,15,6,1
1563,karlos vemola,Middleweight,6.0,185,75,34,10,4,0
1564,brandon vera,Light Heavyweight,6.25,230,76,42,12,7,0
1565,marlon vera,Bantamweight,5.67,135,70,26,15,5,1
1566,marvin vettori,Middleweight,6.0,185,74,26,14,4,1
1567,hugo viana,Bantamweight,5.5,135,67,37,8,4,0
1568,polyana viana,Women's Strawweight,5.42,115,67,27,10,4,0
1569,james vick,Lightweight,6.25,155,76,32,13,5,0
1570,milton vieira,Featherweight,6.0,145,72,41,13,8,2
1571,reginaldo vieira,Bantamweight,5.58,135,65,36,14,5,0
1572,ketlen vieira,Women's Bantamweight,5.67,135,68,28,10,0,0
1573,rodolfo vieira,Middleweight,6.0,185,73,30,6,0,0
1574,gian villante,Light Heavyweight,6.25,205,76,34,17,11,0
1575,armando villarreal,Bantamweight,5.58,135,66,30,5,1,0
1576,yuri villefort,Welterweight,6.0,170,73,28,6,3,0
1577,marcos vinicius,Flyweight,5.75,125,70,39,20,6,1
1578,brandon visher,Bantamweight,5.5,135,68,35,13,3,0
1579,bobby voelker,Welterweight,6.0,170,75,40,24,12,0
1580,alexander volkanovski,Featherweight,5.5,145,71,31,20,1,0
1581,jacob volkmann,Lightweight,5.75,155,71,39,15,4,0
1582,alexander volkov,Heavyweight,6.58,250,80,31,30,7,0
1583,chris wade,Lightweight,5.83,155,70,32,12,3,0
1584,tj waldburger,Welterweight,5.92,170,75,31,16,9,0
1585,chase waldon,Middleweight,6.08,185,75,33,11,2,0
1586,johnny walker,Light Heavyweight,6.42,205,82,27,17,3,0
1587,ben wall,Welterweight,5.83,155,73,30,7,2,1
1588,rodney wallace,Light Heavyweight,5.75,205,72,37,11,4,1
1589,randall wallace,Middleweight,5.92,185,73,30,15,6,0
1590,james wallace,Lightweight,5.83,155,69,26,9,2,0
1591,jimmy wallhead,Welterweight,5.83,170,73,35,29,11,0
1592,richard walsh,Welterweight,6.0,170,73,30,9,6,0
1593,patrick walsh,Light Heavyweight,5.92,185,71,30,5,3,0
1594,sai wang,Welterweight,6.0,170,72,33,8,5,1
1595,charlie ward,Welterweight,5.92,170,73,38,3,3,0
1596,terrion ware,Bantamweight,5.67,135,71,33,17,9,0
1597,dominic waters,Welterweight,6.08,170,79,30,9,5,0
1598,michelle waterson,Women's Strawweight,5.25,115,62,33,17,7,0
1599,walel watson,Bantamweight,5.92,135,69,35,9,5,0
1600,tom watson,Middleweight,6.08,185,73,37,17,9,0
1601,brok weaver,Welterweight,6.0,170,73,27,14,4,0
1602,jonavin webb,Welterweight,5.83,170,71,30,8,2,0
1603,emil meek,Welterweight,5.92,170,74,31,9,4,1
1604,royston wee,Bantamweight,5.58,135,67,32,4,1,0
1605,chris weidman,Middleweight,6.17,205,78,35,14,5,0
1606,christian wellisch,Heavyweight,6.17,234,77,44,8,5,0
1607,fabricio werdum,Heavyweight,6.33,231,77,42,23,8,1
1608,sheldon westcott,Welterweight,6.08,170,71,35,10,3,1
1609,coty wheeler,Bantamweight,5.5,135,67,41,14,4,0
1610,alex white,Lightweight,6.0,155,71,31,13,5,0
1611,craig white,Welterweight,6.17,170,76,29,14,9,0
1612,rob whiteford,Featherweight,5.75,145,69,36,12,4,0
1613,garett whiteley,Lightweight,6.0,155,72,38,8,3,0
1614,emily whitmire,Women's Strawweight,5.42,115,63,28,4,3,0
1615,robert whittaker,Middleweight,6.0,185,73,28,21,5,0
1616,adam wieczorek,Heavyweight,6.42,250,81,27,10,2,0
1617,mike wilkinson,Featherweight,5.58,145,68,32,9,2,0
1618,rob wilkinson,Middleweight,6.25,185,80,27,11,2,0
1619,james wilks,Welterweight,6.08,170,75,41,7,4,0
1620,patrick williams,Bantamweight,5.67,135,73,38,8,6,0
1621,tim williams,Middleweight,6.17,185,76,33,15,5,0
1622,jordan williams,Middleweight,6.0,185,76,29,8,2,0
1623,cole williams,Welterweight,6.0,170,73,35,11,2,0
1624,justin willis,Heavyweight,6.08,264,78,32,8,2,0
1625,chris wilson,Welterweight,6.08,170,75,42,16,8,0
1626,jonathan wilson,Light Heavyweight,6.17,205,75,32,7,3,0
1627,matt wiman,Lightweight,5.83,155,68,36,16,8,0
1628,eddie wineland,Bantamweight,5.58,135,69,35,24,13,1
1629,deron winn,Middleweight,5.5,185,70,30,6,1,0
1630,andre winner,Lightweight,5.92,155,73,37,13,6,1
1631,keith wisniewski,Welterweight,6.0,170,75,37,28,13,1
1632,nathaniel wood,Bantamweight,5.5,135,69,26,16,3,0
1633,tyron woodley,Welterweight,5.75,170,74,37,19,4,1
1634,sean woodson,Featherweight,6.17,145,78,27,7,0,0
1635,khama worthy,Lightweight,5.92,155,74,33,15,6,0
1636,jordan wright,Middleweight,6.17,185,77,28,9,0,0
1637,yanan wu,Flyweight,5.67,125,66,23,10,3,0
1638,song yadong,Bantamweight,5.67,135,67,21,15,4,0
