Unnamed: 0,Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
127,joseph benavidez,Flyweight,5.33,125,65,35,28,5,0
128,gabriel benitez,Featherweight,5.67,145,71,31,21,8,0
129,deanna bennett,Women's Flyweight,5.33,125,68,34,8,3,1
130,lance benoist,Welterweight,5.92,170,73,31,7,2,0
131,ryan benoit,Flyweight,5.42,125,68,30,10,5,0
132,kenneth bergh,Light Heavyweight,6.17,205,76,30,6,0,0
133,keith berish,Middleweight,6.0,205,73,33,5,1,0
134,dennis bermudez,Lightweight,5.5,155,66,32,18,9,0
135,manny bermudez,Bantamweight,5.83,145,71,25,14,2,0
136,talita bernardo,Women's Bantamweight,5.33,135,68,32,6,4,0
137,matt bessette,Featherweight,5.83,145,70,34,22,9,0
138,arjan bhullar,Heavyweight,6.08,245,75,33,9,1,0
139,magomed bibulatov,Flyweight,5.42,125,65,31,14,2,0
140,david bielkheden,Lightweight,5.83,155,71,40,16,9,0
141,anthony birchak,Bantamweight,5.67,135,69,33,13,3,0
142,chris birchler,Light Heavyweight,6.25,205,79,32,7,3,0
143,michael bisping,Middleweight,6.08,185,75,40,31,9,0
144,jan blachowicz,Light Heavyweight,6.17,205,78,36,24,8,0
145,brad blackburn,Welterweight,5.83,170,73,42,18,13,1
146,maximo blanco,Featherweight,5.67,145,71,36,12,8,1
147,curtis blaydes,Heavyweight,6.33,265,80,28,12,2,0
148,byron bloodworth,Bantamweight,5.67,135,69,36,6,3,0
149,mark bocek,Lightweight,5.67,155,75,38,12,5,0
150,kyle bochniak,Featherweight,5.58,145,70,32,8,5,0
151,james bochnovic,Middleweight,6.33,205,81,30,8,3,0
152,tim boetsch,Middleweight,6.0,185,74,38,21,13,0
153,galore bofando,Welterweight,5.92,170,72,37,5,3,0
154,stephan bonnar,Light Heavyweight,6.33,205,78,42,17,8,0
155,rogerio bontorin,Flyweight,5.42,125,67,27,16,1,0
156,ray borg,Bantamweight,5.33,135,63,26,12,4,0
157,tanner boser,Heavyweight,6.17,255,75,28,17,5,1
158,steve bosse,Light Heavyweight,5.92,205,72,38,12,2,0
159,poliana botelho,Women's Strawweight,5.67,115,67,30,8,2,0
160,brian bowles,Bantamweight,5.58,135,70,39,10,3,0
161,roger bowling,Lightweight,5.75,155,68,36,11,5,0
162,kyle bradley,Lightweight,5.75,155,71,37,15,8,0
163,sean brady,Welterweight,5.83,170,72,26,11,0,0
164,ramiz brahimaj,Welterweight,5.83,170,73,26,8,2,0
165,david branch,Middleweight,6.08,185,78,38,22,6,0
166,diego brandao,Featherweight,5.58,145,68,32,24,11,0
167,martin bravo,Featherweight,5.67,145,71,26,12,3,0
168,tom breese,Welterweight,6.25,185,73,28,11,1,0
169,charlie brenneman,Lightweight,5.83,155,72,38,19,8,0
170,marcos brigagao,Light Heavyweight,6.25,205,76,23,11,1,0
171,jason brilz,Light Heavyweight,5.92,205,71,44,18,5,1
172,marcus brimage,Bantamweight,5.33,135,71,34,7,5,0
173,henry briones,Bantamweight,5.67,135,69,39,19,8,1
174,antwain britt,Light Heavyweight,6.08,205,77,41,11,5,0
175,jonathan brookins,Featherweight,6.0,145,73,34,14,6,0
176,will brooks,Lightweight,5.83,155,72,33,18,4,0
177,cm punk,Welterweight,6.08,170,73,40,0,2,0
178,jarred brooks,Flyweight,5.25,125,62,26,14,2,0
179,rob broughton,Heavyweight,6.17,265,74,36,15,7,1
180,matt brown,Welterweight,6.0,170,75,38,23,16,0
181,mike brown,Featherweight,5.5,145,70,44,26,9,0
182,randy brown,Welterweight,6.25,170,78,29,11,3,0
183,damien brown,Lightweight,5.83,155,68,34,17,12,0
184,tj brown,Featherweight,5.75,145,72,29,13,6,0
185,humberto brown,Featherweight,5.83,145,71,34,4,5,0
186,travis browne,Heavyweight,6.5,255,79,37,18,7,1
187,fernando bruno,Featherweight,5.5,145,70,37,16,4,0
188,derek brunson,Middleweight,6.08,185,77,35,20,7,0
189,dennis bryant,Light Heavyweight,6.0,205,72,34,5,1,0
190,justin buchholz,Lightweight,6.0,155,73,36,12,6,0
191,julia budd,Women's Featherweight,5.58,145,67,36,3,1,0
192,mike budnik,Featherweight,5.75,145,68,45,11,4,0
193,paul buentello,Heavyweight,6.17,245,77,45,29,14,0
194,wuliji buren,Bantamweight,5.75,135,69,30,10,7,0
195,shane burgos,Featherweight,5.92,145,75,28,12,1,0
196,joshua burkman,Welterweight,5.83,170,72,39,29,17,0
197,mads burnell,Featherweight,5.67,145,69,25,9,3,0
198,kevin burns,Welterweight,5.83,170,74,39,9,5,0
199,gilbert burns,Lightweight,5.83,155,71,33,17,3,0
200,herbert burns,Featherweight,5.75,145,74,31,8,2,0
201,nah-shon burrell,Welterweight,5.92,170,73,29,9,3,0
202,martin buschkamp,Featherweight,5.75,145,70,28,9,0,0
203,bubba bush,Middleweight,6.0,185,73,34,8,3,0
204,jp buys,Flyweight,5.5,125,66,23,4,1,0
205,charles byrd,Middleweight,5.83,185,73,36,10,6,0
206,yan cabral,Lightweight,5.92,155,73,36,12,3,0
207,alex caceres,Featherweight,5.83,145,73,31,15,12,0
208,priscila cachoeira,Women's Flyweight,5.58,125,65,31,8,3,0
209,joanne calderwood,Women's Flyweight,5.5,125,65,33,14,4,0
210,cynthia calvillo,Women's Strawweight,5.33,115,64,32,8,1,0
211,frank camacho,Lightweight,5.83,170,73,30,22,7,0
212,fabricio camoes,Lightweight,5.83,155,73,40,14,9,1
213,chris camozzi,Middleweight,6.17,185,76,32,24,13,0
214,brian camozzi,Welterweight,6.17,170,78,28,7,5,0
215,shane campbell,Lightweight,6.0,155,71,32,12,6,0
216,will campuzano,Flyweight,5.75,125,70,33,13,6,0
217,aleksa camur,Light Heavyweight,6.08,205,75,24,4,0,0
218,chico camus,Bantamweight,5.5,125,66,34,14,7,0
219,carlos candelario,Flyweight,5.67,125,67,28,6,0,0
220,luiz cane,Middleweight,6.17,185,77,38,12,5,0
221,guido cannetti,Bantamweight,5.5,135,68,39,8,5,0
222,jared cannonier,Middleweight,5.92,185,77,35,13,4,0
223,steve cantwell,Middleweight,6.17,185,75,32,7,6,0
224,phil caracappa,Bantamweight,5.67,135,70,27,8,1,0
225,bryan caraway,Bantamweight,5.67,135,68,35,21,10,0
226,chris cariaso,Flyweight,5.25,125,63,38,17,8,0
227,antonio carlos junior,Middleweight,6.17,185,79,29,11,4,0
228,francis carmont,Middleweight,6.25,205,78,38,23,10,0
229,liz carmouche,Women's Flyweight,5.5,125,66,35,13,7,0
230,roan carneiro,Welterweight,5.92,170,74,41,21,11,0
231,renato moicano,Featherweight,5.92,145,72,30,13,3,1
232,ariane carnelossi,Women's Strawweight,5.17,115,61,26,12,2,0
233,luana carolina,Women's Flyweight,5.5,125,69,26,6,1,0
234,cain carrizosa,Lightweight,5.67,155,74,33,6,2,0
235,antonio carvalho,Featherweight,5.75,145,68,40,15,6,0
236,shane carwin,Heavyweight,6.17,265,80,44,12,2,0
237,johnny case,Lightweight,5.83,155,72,30,22,6,0
238,kevin casey,Middleweight,5.92,185,77,38,9,5,1
239,cortney casey,Women's Strawweight,5.58,115,67,32,8,7,0
240,john castaneda,Bantamweight,5.58,135,70,27,13,2,0
241,danny castillo,Lightweight,5.75,155,71,40,17,10,0
242,nick catone,Middleweight,6.0,185,72,38,10,4,0
243,gesias cavalcante,Lightweight,5.67,155,71,36,16,5,1
244,rafael feijao,Light Heavyweight,6.08,205,73,39,12,7,0
245,magnus cedenblad,Middleweight,6.42,185,79,37,14,5,0
246,yosdenis cedeno,Lightweight,5.67,155,69,34,10,5,1
247,henry cejudo,Bantamweight,5.33,135,64,32,15,2,0
248,adam cella,Middleweight,6.17,170,78,34,4,2,0
249,donald cerrone,Welterweight,6.08,155,73,36,36,13,0
250,luan chagas,Welterweight,6.0,170,75,26,15,3,1
251,alex chambers,Women's Strawweight,5.25,115,63,40,5,5,0
252,ernest chavez,Lightweight,5.67,145,70,36,8,2,0
253,mark cherico,Featherweight,5.58,145,69,33,11,1,0
254,macy chiasson,Women's Bantamweight,5.92,135,72,28,6,1,0
255,michael chiesa,Lightweight,6.08,170,75,31,16,4,0
256,giga chikadze,Women's Featherweight,6.0,145,74,31,8,1,1
257,dooho choi,Featherweight,5.83,145,70,28,14,3,0
258,seungwoo choi,Featherweight,6.0,145,74,26,7,3,0
259,john cholish,Lightweight,5.92,155,72,35,8,3,0
260,ryo chonan,Welterweight,5.75,170,70,43,20,12,0
261,katlyn chookagian,Women's Flyweight,5.75,125,68,30,12,2,0
262,will chope,Featherweight,6.33,145,76,29,19,6,0
263,joachim christensen,Light Heavyweight,6.25,205,76,40,14,6,0
264,anthony christodoulou,Lightweight,5.75,155,72,32,12,6,0
265,hannah cifers,Women's Strawweight,5.08,115,62,27,10,3,0
266,misha cirkunov,Light Heavyweight,6.25,205,77,32,15,5,0
267,heather jo clark,Women's Strawweight,5.5,115,64,39,7,6,0
268,devin clark,Light Heavyweight,6.0,205,75,29,10,4,0
269,jessica-rose clark,Women's Flyweight,5.42,125,64,31,9,5,0
270,mitch clarke,Lightweight,5.83,155,73,33,11,5,0
271,rich clementi,Lightweight,5.75,155,72,43,40,20,1
272,chris clements,Welterweight,5.83,170,70,43,12,6,0
273,josh clopton,Featherweight,5.5,145,68,38,6,2,1
274,marloes coenen,Featherweight,5.75,145,67,38,21,5,0
275,john cofer,Lightweight,5.75,155,73,35,7,4,0
276,felipe colares,Featherweight,5.67,135,69,25,9,1,0
277,mark coleman,Light Heavyweight,6.08,205,75,54,16,10,0
278,clay collard,Featherweight,5.92,145,73,26,14,7,0
279,jamie colleen,Women's Strawweight,5.25,115,65,33,4,1,0
280,jake collier,Light Heavyweight,6.25,205,78,30,11,4,0
281,christian colombo,Heavyweight,6.42,265,80,39,8,3,1
282,carlos condit,Welterweight,6.17,170,75,35,30,13,0
283,tristan connelly,Welterweight,5.83,170,68,33,14,6,0
284,amanda cooper,Women's Strawweight,5.25,115,64,28,4,5,0
285,chris cope,Welterweight,6.0,170,72,36,5,4,0
286,josh copeland,Heavyweight,6.08,265,75,37,9,2,0
287,michael cora,Welterweight,6.08,170,77,30,4,1,0
288,akira corassani,Featherweight,5.67,145,68,37,14,7,0
289,daniel cormier,Heavyweight,5.92,235,72,40,22,2,0
290,bethe correia,Women's Bantamweight,5.42,135,64,36,11,4,1
291,randy costa,Bantamweight,5.75,135,73,25,5,1,0
292,patrick cote,Welterweight,5.92,170,71,39,24,11,0
293,jc cottrell,Lightweight,5.75,155,71,29,17,5,0
294,jr coughran,Featherweight,5.5,145,71,25,6,1,0
295,rashad coulter,Heavyweight,5.92,205,76,37,9,4,0
296,randy couture,Heavyweight,6.08,205,75,56,19,11,0
297,ryan couture,Lightweight,5.83,155,75,37,7,3,0
298,colby covington,Welterweight,5.92,170,72,31,15,1,0
299,nathan coy,Welterweight,5.83,170,69,41,15,7,0
300,andrew craig,Welterweight,6.08,170,76,33,9,4,0
301,paul craig,Light Heavyweight,6.25,205,76,31,12,4,0
302,tim credeur,Middleweight,6.25,185,75,42,12,4,0
303,allen crowder,Heavyweight,6.25,245,76,29,10,4,0
304,daron cruickshank,Lightweight,5.67,155,72,34,16,8,0
305,jimmy crute,Light Heavyweight,6.17,205,74,23,10,1,0
306,dominick cruz,Bantamweight,5.67,135,68,34,22,2,0
307,aalon cruz,Featherweight,6.0,145,78,30,7,2,0
308,zak cummings,Middleweight,6.0,185,75,35,23,7,0
309,patrick cummins,Light Heavyweight,6.17,205,76,38,10,7,0
310,luke cummo,Welterweight,6.0,170,74,39,6,6,0
311,alton cunningham,Light Heavyweight,6.17,205,77,26,7,1,0
312,jeff curran,Bantamweight,5.5,135,69,42,35,15,1
313,kailin curran,Women's Strawweight,5.33,115,65,28,4,6,0
314,ion cutelaba,Light Heavyweight,6.08,205,75,25,15,4,0
315,jussier formiga,Flyweight,5.42,125,67,34,23,6,0
316,claudio silva,Welterweight,5.92,170,71,37,14,1,0
317,henrique da silva,Light Heavyweight,6.25,205,76,30,14,5,0
318,alex da silva,Lightweight,5.67,155,73,23,21,2,0
319,nicolas dalby,Welterweight,5.92,170,74,34,18,3,1
320,paul daley,Welterweight,5.75,170,76,36,31,11,2
321,aisling daly,Women's Strawweight,5.17,115,64,31,16,6,0
322,rodrigo damm,Lightweight,5.58,155,71,39,12,9,0
323,cindy dandois,Women's Bantamweight,5.58,135,68,34,8,3,0
324,jarjis danho,Heavyweight,6.25,265,74,36,6,1,1
325,mac danzig,Lightweight,5.67,155,70,39,22,12,1
326,karen darabedyan,Lightweight,5.58,155,68,32,9,4,0
327,beneil dariush,Lightweight,5.83,155,72,30,16,4,1
328,kyle daukaus,Middleweight,6.25,185,76,26,6,0,0
329,marcus davis,Welterweight,5.83,170,70,46,20,9,0
330,lc davis,Bantamweight,5.67,135,69,38,17,4,0
331,phil davis,Light Heavyweight,6.17,205,79,35,13,3,0
332,alexis davis,Women's Flyweight,5.5,125,68,35,19,10,0
333,brandon davis,Bantamweight,5.83,135,72,29,10,8,0
334,mike davis,Lightweight,6.0,155,72,27,8,2,0
335,hakeem dawodu,Featherweight,5.67,145,73,28,10,1,1
336,grant dawson,Featherweight,5.83,145,72,25,14,1,0
337,jason day,Middleweight,6.0,185,72,38,19,12,0
338,martin day,Bantamweight,5.83,135,73,30,8,3,0
339,yorgan de castro,Heavyweight,6.0,250,74,32,6,0,0
340,geraldo de freitas,Featherweight,5.58,135,72,28,12,5,0
341,philip de fries,Heavyweight,6.42,250,82,33,9,3,0
342,chris de la rocha,Heavyweight,6.25,250,80,40,5,3,0
343,montana de la rosa,Women's Flyweight,5.58,125,68,24,10,5,0
344,mark de la rosa,Bantamweight,5.5,135,65,25,11,3,0
345,mike de la torre,Featherweight,5.92,145,71,33,14,7,0
346,rodrigo de lima,Lightweight,5.58,155,75,28,8,3,1
347,jorge de oliveira,Lightweight,5.67,155,71,39,7,2,0
348,germaine de randamie,Women's Bantamweight,5.75,135,71,35,9,3,0
349,tom deblass,Middleweight,6.0,185,75,37,7,2,0
350,shane del rosario,Heavyweight,6.33,250,79,36,11,2,0
351,rolando delgado,Lightweight,6.25,155,77,37,11,5,1
352,roland delorme,Bantamweight,5.75,135,71,35,9,4,0
353,jon delos reyes,Flyweight,5.5,125,67,32,8,5,0
354,chris dempsey,Light Heavyweight,5.83,185,72,32,11,4,0
355,jason dent,Lightweight,5.83,155,71,39,21,12,0
356,mackenzie dern,Women's Strawweight,5.33,115,63,26,7,1,0
357,tony desouza,Welterweight,6.0,170,70,45,10,4,0
358,alessio di chirico,Middleweight,6.0,185,74,29,12,4,0
359,micol di segni,Women's Strawweight,5.25,115,60,31,7,2,0
360,cyrille diabate,Light Heavyweight,6.5,205,81,46,20,10,3
361,marc diakiese,Lightweight,5.83,155,73,26,14,3,0
362,tyler diamond,Featherweight,5.58,145,69,28,9,2,0
363,hacran dias,Lightweight,5.67,155,69,35,23,6,1
364,nick diaz,Welterweight,6.08,185,76,36,26,9,0
365,nate diaz,Welterweight,6.0,170,76,34,21,11,0
366,seth dikun,Bantamweight,5.83,135,69,39,7,4,0
367,tj dillashaw,Bantamweight,5.5,125,67,33,17,4,0
368,rico disciullo,Bantamweight,5.67,135,71,33,9,1,0
369,russell doane,Bantamweight,5.58,135,70,33,15,8,0
370,drew dober,Lightweight,5.67,155,70,31,21,9,0
371,shana dobson,Women's Flyweight,5.5,125,69,30,3,3,0
372,john dodson,Bantamweight,5.25,135,66,35,21,11,0
373,joe doerksen,Middleweight,6.0,185,75,42,47,16,0
374,cb dollaway,Middleweight,6.17,185,76,36,18,10,0
375,cody donovan,Light Heavyweight,6.25,205,74,38,8,5,0
376,rafael dos anjos,Welterweight,5.67,170,70,34,29,12,0
377,junior dos santos,Heavyweight,6.33,238,77,35,21,6,0
378,antonio dos santos,Middleweight,5.83,185,72,31,6,3,0
379,anderson dos santos,Featherweight,5.42,135,70,34,20,8,0
380,tiago trator,Featherweight,5.75,145,70,32,20,6,2
381,danny downes,Lightweight,6.0,155,72,33,8,3,0
382,tomasz drwal,Middleweight,6.08,205,76,37,19,4,1
383,robert drysdale,Light Heavyweight,6.25,205,78,38,6,0,0
384,milana dudieva,Women's Bantamweight,5.25,135,61,30,11,5,0
385,todd duffee,Heavyweight,6.25,260,78,33,9,3,0
386,joe duffy,Lightweight,5.83,155,73,31,16,4,0
387,alexis dufresne,Women's Bantamweight,5.75,135,68,29,5,4,0
388,jessamyn duke,Women's Bantamweight,5.92,135,73,33,3,3,0
389,evan dunham,Lightweight,5.83,155,70,37,18,8,1
390,tom duquesnoy,Bantamweight,5.58,135,68,26,16,2,0
391,reuben duran,Bantamweight,5.58,135,69,36,8,5,1
392,luiz dutra,Welterweight,5.92,170,71,37,11,4,1
393,rilley dutro,Flyweight,5.67,125,70,32,14,3,0
394,merab dvalishvili,Bantamweight,5.5,135,68,28,9,4,0
395,matt dwyer,Welterweight,6.33,170,76,29,8,4,0
396,rolando dy,Featherweight,5.67,145,69,29,9,7,1
397,cody east,Heavyweight,6.25,245,74,31,12,3,0
398,marvin eastman,Middleweight,5.75,185,73,48,17,14,1
399,mike easton,Bantamweight,5.5,135,70,35,13,5,0
400,brian ebersole,Welterweight,6.0,170,73,38,51,17,1
401,mark eddiva,Featherweight,5.67,145,68,33,6,3,0
402,frankie edgar,Featherweight,5.5,145,68,38,22,7,1
403,abdul-kerim edilov,Light Heavyweight,6.17,205,78,27,17,4,0
404,johnny eduardo,Bantamweight,5.58,135,71,41,28,12,0
405,yves edwards,Lightweight,5.75,155,73,43,42,22,1
406,justin edwards,Welterweight,5.83,155,70,36,9,5,0
407,leon edwards,Welterweight,6.17,170,74,28,18,3,0
408,te edwards,Lightweight,5.67,155,72,29,6,3,0
409,darren elkins,Featherweight,5.83,145,71,35,25,8,0
410,jake ellenberger,Welterweight,5.75,170,71,34,31,15,0
411,joe ellenberger,Lightweight,5.75,155,72,34,15,2,0
412,tim elliott,Bantamweight,5.58,135,66,32,16,9,1
413,lisa ellis,Women's Strawweight,5.33,115,62,36,15,10,0
414,anna elmose,Women's Strawweight,5.25,115,65,35,3,2,0
415,ramazan emeev,Welterweight,5.83,170,76,32,18,3,0
416,fedor emelianenko,Heavyweight,6.0,230,74,43,34,4,0
417,rob emerson,Lightweight,5.75,155,70,38,11,10,0
418,jamall emmers,Featherweight,5.83,145,74,30,13,3,0
419,josh emmett,Featherweight,5.5,145,70,34,15,2,0
420,oliver enkamp,Welterweight,6.0,170,77,28,7,2,0
421,alex enlund,Featherweight,5.83,145,73,32,14,2,0
422,ian entwistle,Bantamweight,5.42,135,64,32,9,3,0
423,andy enz,Middleweight,6.25,185,78,28,8,3,0
424,konstantin erokhin,Heavyweight,5.92,230,73,36,9,3,0
425,julian erosa,Featherweight,6.08,145,74,30,22,9,0
426,cole escovedo,Bantamweight,5.58,135,72,38,17,8,0
427,efrain escudero,Lightweight,5.75,155,70,33,25,11,0
428,carla esparza,Women's Strawweight,5.08,115,63,32,16,6,0
429,juan espino,Heavyweight,6.33,250,82,39,10,1,0
430,jordan espinosa,Flyweight,5.5,125,69,29,14,6,0
431,jodie esquibel,Women's Strawweight,5.08,115,64,33,6,6,0
432,terry etim,Lightweight,6.08,155,73,33,15,5,0
433,sijara eubanks,Women's Flyweight,5.33,135,67,34,5,4,0
434,billy evangelista,Lightweight,5.67,155,68,39,11,2,0
435,rashad evans,Light Heavyweight,6.0,205,75,40,24,8,1
436,ashlee evans-smith,Women's Flyweight,5.67,125,67,32,6,4,0
437,tonya evinger,Women's Bantamweight,5.58,135,70,38,19,8,0
438,movsar evloev,Featherweight,5.58,145,72,25,11,0,0
439,andre ewell,Bantamweight,5.67,135,75,31,15,6,0
440,jessica eye,Women's Bantamweight,5.5,125,66,33,14,7,0
441,urijah faber,Bantamweight,5.5,135,67,40,35,10,0
442,melinda fabian,Women's Flyweight,5.5,125,66,32,4,4,2
443,wagnney fabiano,Featherweight,5.5,145,69,44,14,3,0
444,bartosz fabinski,Middleweight,6.0,170,75,33,14,3,0
445,zarah fairn,Featherweight,5.67,145,72,32,6,3,0
446,rico farrington,Welterweight,6.33,170,79,30,7,2,0
447,kelly faszholz,Women's Bantamweight,5.67,135,67,34,3,2,0
448,paul felder,Welterweight,5.92,155,70,35,17,4,0
449,tony ferguson,Lightweight,5.92,155,76,35,26,3,0
450,josh ferguson,Flyweight,5.42,125,66,31,7,5,0
451,cezar ferreira,Middleweight,6.08,185,78,34,14,8,0
452,diego ferreira,Lightweight,5.75,155,74,34,16,2,0
453,drew fickett,Welterweight,5.83,155,70,39,41,16,0
454,deiveson figueiredo,Flyweight,5.42,125,68,31,17,1,0
455,edwin figueroa,Bantamweight,5.58,135,69,35,9,4,0
456,andre fili,Featherweight,5.92,145,74,29,20,6,0
457,mirko cro cop,Heavyweight,6.17,230,73,45,31,11,2
458,luigi fioravanti,Welterweight,5.67,170,70,38,22,11,0
459,spencer fisher,Lightweight,5.58,155,70,43,25,9,0
460,chris fishgold,Featherweight,5.67,145,68,27,18,3,1
461,jon fitch,Welterweight,6.0,170,76,41,27,5,1
462,rafael fiziev,Lightweight,5.67,155,71,26,6,1,0
463,colin fletcher,Lightweight,6.17,155,78,36,9,3,0
464,kenny florian,Featherweight,5.83,145,74,43,14,6,0
465,caros fodor,Lightweight,5.75,155,76,35,7,3,0
466,rob font,Bantamweight,5.67,135,71,32,16,4,0
467,jesse forbes,Middleweight,6.17,185,75,35,15,5,0
468,renee forte,Lightweight,5.58,155,71,32,8,4,0
469,marcel fortuna,Light Heavyweight,6.08,205,74,34,9,3,0
470,brian foster,Welterweight,5.75,170,71,35,18,5,0
471,hermes franca,Lightweight,5.5,155,71,45,22,12,0
472,glaico franca,Lightweight,6.0,155,77,28,14,5,0
473,john franchi,Featherweight,5.5,145,67,37,6,2,0
474,rich franklin,Middleweight,6.08,185,75,45,29,7,0
475,justin frazier,Heavyweight,6.0,265,75,30,11,3,0
476,matt frevola,Lightweight,5.75,155,71,29,8,1,1
477,sarah frota,Women's Strawweight,5.5,125,69,32,9,2,0
478,riki fukuda,Middleweight,6.0,185,73,38,19,7,0
479,masio fullen,Featherweight,5.83,145,70,33,10,6,0
480,ricardo funch,Welterweight,5.83,170,76,39,8,4,0
481,claudia gadelha,Women's Strawweight,5.33,115,63,30,17,4,0
482,justin gaethje,Lightweight,5.92,155,70,30,21,2,0
483,sheila gaff,Women's Bantamweight,5.42,135,62,29,10,6,1
484,mitch gagnon,Bantamweight,5.42,135,65,35,12,5,0
485,mickey gall,Welterweight,6.17,170,74,27,6,2,0
486,tom gallicchio,Welterweight,5.83,170,73,33,19,11,0
487,manvel gamburyan,Bantamweight,5.42,135,67,38,18,11,0
488,ciryl gane,Heavyweight,6.33,245,81,29,4,0,0
489,eduardo garagorri,Featherweight,5.75,145,70,30,13,0,0
490,cody garbrandt,Bantamweight,5.67,135,65,28,11,3,0
491,leonard garcia,Featherweight,5.83,145,69,40,19,11,1
492,edgar garcia,Welterweight,5.83,170,71,35,14,5,0
493,alex garcia,Welterweight,5.75,170,72,32,15,6,0
494,steve garcia,Bantamweight,6.0,135,75,27,9,3,0
495,elias garcia,Flyweight,5.42,125,67,27,6,2,0
496,pablo garza,Featherweight,6.08,145,73,36,13,4,0
497,azamat gashimov,Flyweight,5.5,125,66,29,10,3,0
498,kelvin gastelum,Middleweight,5.75,185,71,28,16,4,0
499,willie gates,Flyweight,5.67,125,70,32,12,7,0
500,louis gaudinot,Flyweight,5.25,125,63,35,6,4,0
501,chad george,Bantamweight,5.5,135,68,37,13,6,0
502,karine gevorgyan,Women's Flyweight,5.33,125,63,30,3,3,0
503,christos giagos,Lightweight,5.83,155,71,29,17,8,0
504,joe giannetti,Lightweight,6.0,155,74,24,7,1,0
505,cody gibson,Bantamweight,5.83,135,71,32,12,6,0
506,thomas gifford,Lightweight,6.08,155,75,27,17,9,0
507,joe gigliotti,Middleweight,5.92,185,69,26,7,2,0
508,trevin giles,Light Heavyweight,6.0,185,74,27,11,2,0
509,gregor gillespie,Lightweight,5.58,155,71,32,13,0,0
510,alex gilpin,Featherweight,5.58,145,72,27,11,1,0
511,rick glenn,Featherweight,6.0,145,70,30,21,6,1
512,mark godbeer,Heavyweight,6.33,240,77,35,13,4,0
513,hannah goldy,Women's Flyweight,5.33,125,61,27,5,1,0
514,marcelo golm,Heavyweight,6.25,249,75,27,6,3,0
515,frank gomez,Bantamweight,5.83,135,67,33,10,4,0
516,ulysses gomez,Flyweight,5.5,125,66,36,9,4,0
517,joey gomez,Bantamweight,5.83,155,71,30,7,1,0
518,luis gomez,Featherweight,5.58,145,68,24,4,1,0
519,takanori gomi,Lightweight,5.58,155,70,41,35,14,0
520,akihiro gono,Welterweight,5.58,170,68,45,32,16,7
521,gabriel gonzaga,Heavyweight,6.17,242,76,40,17,11,0
522,justin gonzales,Featherweight,5.75,145,72,28,9,0,0
523,fernando gonzalez,Welterweight,5.75,170,68,36,19,11,0
524,lewis gonzalez,Welterweight,5.83,170,73,32,10,2,0
525,jason gonzalez,Lightweight,6.17,155,74,29,11,5,0
526,pearl gonzalez,Women's Strawweight,5.33,115,68,33,6,3,0
527,lyman good,Welterweight,6.0,170,74,34,20,5,0
528,eddie gordon,Middleweight,6.0,185,76,36,8,4,0
529,jared gordon,Lightweight,5.75,155,68,31,15,3,0
530,tebaris gordon,Heavyweight,6.08,265,78,31,3,1,0
531,alex gorgees,Lightweight,6.17,155,74,24,7,1,0
532,tim gorman,Bantamweight,5.42,135,68,36,9,4,0
533,jonathan goulet,Welterweight,6.0,170,73,40,23,12,0
534,thibault gouti,Lightweight,5.83,155,72,32,12,5,0
535,wilson gouveia,Middleweight,6.08,185,76,41,12,8,0
536,damian grabowski,Heavyweight,6.08,241,75,39,20,5,0
537,roger gracie,Middleweight,6.33,185,79,38,6,2,0
538,kron gracie,Featherweight,5.75,145,70,31,5,1,0
539,miranda granger,Women's Flyweight,5.58,125,68,27,7,0,0
540,tj grant,Lightweight,5.83,155,72,35,21,5,0
541,davey grant,Bantamweight,5.67,135,69,33,10,4,0
542,dwight grant,Welterweight,6.08,170,76,35,10,2,0
543,alexa grasso,Women's Strawweight,5.42,115,66,26,11,3,0
544,michael graves,Welterweight,5.83,170,71,28,6,0,1
545,shelton graves,Heavyweight,6.17,255,76,34,7,3,0
546,kevin gray,Flyweight,5.33,125,67,34,9,4,0
547,bobby green,Lightweight,5.83,155,71,33,24,9,1
548,desmond green,Lightweight,5.83,155,73,30,23,8,0
549,maurice greene,Heavyweight,6.58,258,80,33,8,3,0
550,matt grice,Lightweight,5.67,145,70,38,15,5,0
551,forrest griffin,Light Heavyweight,6.25,205,77,40,19,7,0
552,tyson griffin,Featherweight,5.5,145,68,35,15,6,0
553,max griffin,Welterweight,5.92,170,76,33,15,7,0
554,jordan griffin,Featherweight,5.83,145,73,29,17,7,0
555,chad griggs,Light Heavyweight,6.08,205,73,41,11,3,0
556,josh grispi,Featherweight,5.92,145,74,31,14,5,0
557,garrett gross,Lightweight,5.75,155,69,31,11,6,0
558,kendall grove,Middleweight,6.5,185,79,36,13,10,0
559,chris gruetzemacher,Lightweight,5.67,155,68,33,14,3,0
560,vik grujic,Welterweight,5.92,170,73,42,7,6,0
561,mike grundy,Featherweight,5.58,145,72,32,12,1,0
562,wang guan,Featherweight,5.75,145,71,33,20,1,1
563,nandor guelmino,Heavyweight,6.25,230,76,43,11,5,1
564,shannon gugerty,Lightweight,5.83,155,71,37,14,6,0
565,clay guida,Lightweight,5.58,155,70,37,35,16,0
566,melvin guillard,Lightweight,5.75,155,68,36,48,15,3
567,marcelo guimaraes,Middleweight,6.0,185,73,36,9,2,1
568,leonardo augusto leleco,Middleweight,6.0,185,73,37,11,3,0
